"","organization","organization_cleaned","eq_firm","name_diff","match"
"1336","amorepacific","amorepacific","amorepacific",0,1
"1337","bc card","bc card","bc card",0,1
"1338","cj cgv","cj cgv","cj cgv",0,1
"1339","crown confectionery","crown confectionery","crown confectionery",0,1
"1340","dongbu chemical","dongbu","dongbu",0,1
"1341","eugene","eugene","eugene",0,1
"1342","gravity","gravity","gravity",0,1
"1343","gs caltex","gs caltex","gs caltex",0,1
"1344","halla","halla","halla",0,1
"1345","hansol chemical","hansol","hansol",0,1
"1346","hyundai  construction","hyundai  construction","hyundai  construction",0,1
"1347","hyundai rotem","hyundai rotem","hyundai rotem",0,1
"1348","hyundai steel","hyundai steel","hyundai steel",0,1
"1349","inca internet","inca internet","inca internet",0,1
"1350","industrial bank of korea","industrial bank of korea","industrial bank of korea",0,1
"1351","iriver","iriver","iriver",0,1
"1352","kakao","kakao","kakao",0,1
"1353","korea electric power","korea electric power","korea electric power",0,1
"1354","korean broadcasting system","korean broadcasting system","korean broadcasting system",0,1
"1355","kumho tire","kumho tire","kumho tire",0,1
"1356","lg chem","lg chem","lg chem",0,1
"1357","lg cns","lg cns","lg cns",0,1
"1358","lg uplus","lg uplus","lg uplus",0,1
"1359","lotte card","lotte card","lotte card",0,1
"1360","lotte confectionery","lotte confectionery","lotte confectionery",0,1
"1361","mando","mando","mando",0,1
"1362","naver","naver","naver",0,1
"1363","ncsoft","ncsoft","ncsoft",0,1
"1364","netmarble games","netmarble games","netmarble games",0,1
"1365","nexen tire","nexen tire","nexen tire",0,1
"1366","pantech","pantech","pantech",0,1
"1367","posco","posco","posco",0,1
"1368","samsung card","samsung card","samsung card",0,1
"1369","samsung digital imaging","samsung digital imaging","samsung digital imaging",0,1
"1370","seoul broadcasting system","seoul broadcasting system","seoul broadcasting system",0,1
"1371","shinhan bank","shinhan bank","shinhan bank",0,1
"1372","tmaxsoft","tmaxsoft","tmaxsoft",0,1
"1373","yuhan","yuhan","yuhan",0,1
"1374","adata","adata","adata",0,1
"1375","aeon motor","aeon motor","aeon motor",0,1
"1376","aerospace industrial development","aerospace industrial development","aerospace industrial development",0,1
"1377","alchip","alchip","alchip",0,1
"1378","aopen","aopen","aopen",0,1
"1379","apacer","apacer","apacer",0,1
"1380","behavior tech computer","behavior tech computer","behavior tech computer",0,1
"1381","cipherlab","cipherlab","cipherlab",0,1
"1382","clevo","clevo","clevo",0,1
"1383","cmc magnetics","cmc magnetics","cmc magnetics",0,1
"1384","cooler master","cooler master","cooler master",0,1
"1385","cpc","cpc","cpc",0,1
"1386","cyberlink","cyberlink","cyberlink",0,1
"1387","dbtel","dbtel","dbtel",0,1
"1388","dfi","dfi","dfi",0,1
"1389","dynacomware","dynacomware","dynacomware",0,1
"1390","elitegroup computer systems","elitegroup computer","elitegroup computer",0,1
"1391","epistar","epistar","epistar",0,1
"1392","far eastern new century","far eastern new century","far eastern new century",0,1
"1393","formosa plastics","formosa plastics","formosa plastics",0,1
"1394","fsp","fsp","fsp",0,1
"1395","htc","htc","htc",0,1
"1396","insyde software","insyde","insyde",0,1
"1397","jmicron","jmicron","jmicron",0,1
"1398","kingmax","kingmax","kingmax",0,1
"1399","kmc chain industrial","kmc chain industrial","kmc chain industrial",0,1
"1400","leadtek","leadtek","leadtek",0,1
"1401","microtek","microtek","microtek",0,1
"1402","miniwiz","miniwiz","miniwiz",0,1
"1403","nankang rubber tire","nankang rubber tire","nankang rubber tire",0,1
"1404","pegatron","pegatron","pegatron",0,1
"1405","phalanx biotech","phalanx biotech","phalanx biotech",0,1
"1406","ralink","ralink","ralink",0,1
"1407","ritek","ritek","ritek",0,1
"1408","taiwan cement","taiwan cement","taiwan cement",0,1
"1409","taiwan fertilizer","taiwan fertilizer","taiwan fertilizer",0,1
"1410","taiwan mobile communication","taiwan mobile","taiwan mobile",0,1
"1411","thunder tiger","thunder tiger","thunder tiger",0,1
"1412","transcend information","transcend information","transcend information",0,1
"1413","ulead systems","ulead","ulead",0,1
"1414","yageo","yageo","yageo",0,1
"1415","arcelik","arcelik","arcelik",0,1
"1416","irkut","irkut","irkut",0,1
"1417","russian","russian","russian",0,1
"1418","tupolev","tupolev","tupolev",0,1
"1419","mapna","mapna","mapna",0,1
"1420","biosys pty","biosys pty","biosis pty",1,NA
"1421","slater gordon","slater gordon","slater  gordon",1,NA
"1422","böhler uddeholm","bohler uddeholm","bohleruddeholm",1,NA
"1423","voest alpine","voest alpine","voestalpine",1,NA
"1424","agfa gevaert","agfa gevaert","agfagevaert",1,NA
"1425","anheuser busch inbev","anheuser busch inbev","anheuserbusch inbev",1,NA
"1426","carta mundi","carta mundi","cartamundi",1,NA
"1427","mutoh europe n v","mutoh europe n v","mutoh europe nv",1,NA
"1428","iochpe maxion","iochpe maxion","iochpemaxion",1,NA
"1429","weg indústrias","weg industrias","weg industries",1,NA
"1430","awe","awe","aw",1,NA
"1431","awn","awn","aw",1,NA
"1432","alda pharmaceuticals","alda","aldo",1,NA
"1433","ati technolgies","ati technolgies","ati technologies",1,NA
"1434","black photo","black photo","blacks photo",1,NA
"1435","blackberry limted","blackberry limted","blackberry limited",1,NA
"1436","bombardier recreational product","bombardier recreational product","bombardier recreational products",1,NA
"1437","cgc","cgc","cgi",1,NA
"1438","colt","colt","cott",1,NA
"1439","empra systems","empra","emera",1,NA
"1440","engineered lifting systems equipment","engineered lifting equipment","engineered lifting  equipment",1,NA
"1441","hydro quebec","hydro quebec","hydroquebec",1,NA
"1442","leone","leone","leons",1,NA
"1443","matrix innovation","matrix","matrox",1,NA
"1444","matrix","matrix","matrox",1,NA
"1445","nordel","nordel","nortel",1,NA
"1446","novacam tyechnologies","novacam tyechnologies","novacam technologies",1,NA
"1447","one","one","onex",1,NA
"1448","parrish heimbecker","parrish heimbecker","parrish  heimbecker",1,NA
"1449","petro canada","petro canada","petrocanada",1,NA
"1450","potash  of saskatchewan","potash  of saskatchewan","potash of saskatchewan",1,NA
"1451","pratt whitney canada","pratt whitney canada","pratt  whitney canada",1,NA
"1452","prism medical","prism","priszm",1,NA
"1453","srp","srp","src",1,NA
"1454","snc lavalin","snc lavalin","snclavalin",1,NA
"1455","sun rype","sun rype","sunrype",1,NA
"1456","tm4","tm4","tmx",1,NA
"1457","tmax","tmax","tmx",1,NA
"1458","alibaba  holding","alibaba ","alibaba",1,NA
"1459","cofco","cofco","cosco",1,NA
"1460","cosmo","cosmo","cosco",1,NA
"1461","ene","ene","eno",1,NA
"1462","alk abelló","alk abello","alkabello",1,NA
"1463","bang olufsen","bang olufsen","bang  olufsen",1,NA
"1464","dtu","dtu","dt",1,NA
"1465","leo pharmaceuticals","leo","lego",1,NA
"1466","terma a s","terma a s","terma as",1,NA
"1467","dna oy","dna oy","dna oyj",1,NA
"1468","metso","metso","metsa",1,NA
"1469","upm kymmene","upm kymmene","upmkymmene",1,NA
"1470","aerospatiale matra","aerospatiale matra","aerospatialematra",1,NA
"1471","alcatel lucent","alcatel lucent","alcatellucent",1,NA
"1472","axs medical","axs","axa",1,NA
"1473","axal","axal","axa",1,NA
"1474","bee healthcare","bee","bel",1,NA
"1475","celia","celia","celio",1,NA
"1476","geolink","geolink","getlink",1,NA
"1477","reel","reel","rexel",1,NA
"1478","rhone poulenc","rhone poulenc","rhonepoulenc",1,NA
"1479","rhone poulenc systems","rhone poulenc","rhonepoulenc",1,NA
"1480","saint gobain","saint gobain","saintgobain",1,NA
"1481","snf","snf","sncf",1,NA
"1482","snef","snef","sncf",1,NA
"1483","tfk","tfk","tf1",1,NA
"1484","thomson csf","thomson csf","thomsoncsf",1,NA
"1485","veglia","veglia","veolia",1,NA
"1486","alpine","alpine","alpina",1,NA
"1487","benecke kaliko","benecke kaliko","beneckekaliko",1,NA
"1488","blohm voss","blohm voss","blohmvoss",1,NA
"1489","blohm voss holding","blohm voss","blohmvoss",1,NA
"1490","dbt","dbt","dba",1,NA
"1491","db systems","db","dba",1,NA
"1492","dbw holding","dbw","dba",1,NA
"1493","dbh","dbh","dba",1,NA
"1494","dbp holding","dbp","dba",1,NA
"1495","dieffenbacher  kg","dieffenbacher ","dieffenbacher",1,NA
"1496","diesel","diesel","diezel",1,NA
"1497","eos","eos","eon",1,NA
"1498","evonik industrie","evonik industrie","evonik industries",1,NA
"1499","faber castell","faber castell","fabercastell",1,NA
"1500","feina","feina","fein",1,NA
"1501","feil","feil","fein",1,NA
"1502","gerag","gerag","getrag",1,NA
"1503","gruner jahr","gruner jahr","gruner  jahr",1,NA
"1504","hapag lloyd","hapag lloyd","hapaglloyd",1,NA
"1505","heckler koch","heckler koch","heckler  koch",1,NA
"1506","hellma holding","hellma","hella",1,NA
"1507","hell","hell","hella",1,NA
"1508","howaldtswerke deutsche werft","howaldtswerke deutsche werft","howaldtswerkedeutsche werft",1,NA
"1509","infineon techonologies","infineon techonologies","infineon technologies",1,NA
"1510","infineontechnologies","infineontechnologies","infineon technologies",1,NA
"1511","infineon tehnologies","infineon tehnologies","infineon technologies",1,NA
"1512","infineon technologie","infineon technologie","infineon technologies",1,NA
"1513","infineon techologies","infineon techologies","infineon technologies",1,NA
"1514","infineon technologoies","infineon technologoies","infineon technologies",1,NA
"1515","infineon technoogies","infineon technoogies","infineon technologies",1,NA
"1516","infineon technolgies","infineon technolgies","infineon technologies",1,NA
"1517","infineon tecnologies","infineon tecnologies","infineon technologies",1,NA
"1518","infineon technoplogies","infineon technoplogies","infineon technologies",1,NA
"1519","infineon technologioes","infineon technologioes","infineon technologies",1,NA
"1520","infineon technoloies","infineon technoloies","infineon technologies",1,NA
"1521","infineon technologoes","infineon technologoes","infineon technologies",1,NA
"1522","jung hans","jung hans","junghans",1,NA
"1523","junker holding","junker","junkers",1,NA
"1524","ksb","ksb","ks",1,NA
"1525","ksm","ksm","ks",1,NA
"1526","knürr","knurr","knorr",1,NA
"1527","knorr bremse","knorr bremse","knorrbremse",1,NA
"1528","koenig bauer","koenig bauer","koenig  bauer",1,NA
"1529","mann hummel","mann hummel","mannhummel",1,NA
"1530","mercedes benz","mercedes benz","mercedesbenz",1,NA
"1531","meto","meto","metz",1,NA
"1532","merz pharmaceuticals","merz","metz",1,NA
"1533","merz","merz","metz",1,NA
"1534","mez","mez","metz",1,NA
"1535","mertz","mertz","metz",1,NA
"1536","oped","oped","opel",1,NA
"1537","ott","ott","otto",1,NA
"1538","rohde schwarz","rohde schwarz","rohde  schwarz",1,NA
"1539","steinway sons","steinway sons","steinway  sons",1,NA
"1540","still","still","stihl",1,NA
"1541","stahl","stahl","stihl",1,NA
"1542","villeroy boch","villeroy boch","villeroy  boch",1,NA
"1543","ziehl abegg se","ziehl abegg se","ziehlabegg se",1,NA
"1544","dr reddy s laboratories","dr reddy s","dr reddys",1,NA
"1545","hero motorcorp","hero motorcorp","hero motocorp",1,NA
"1546","larsen toubro","larsen toubro","larsen  toubro",1,NA
"1547","mahindra mahindra","mahindra mahindra","mahindra  mahindra",1,NA
"1548","danieli  spa","danieli ","danieli",1,NA
"1549","de longhi spa","de longhi","delonghi",1,NA
"1550","enea","enea","enel",1,NA
"1551","fenzi spa","fenzi","fendi",1,NA
"1552","isa spa","isa","iso",1,NA
"1553","oscam spa","oscam","osca",1,NA
"1554","rancilio  spa","rancilio ","rancilio",1,NA
"1555","selco spa","selco","seleco",1,NA
"1556","sigma tau","sigma tau","sigmatau",1,NA
"1557","akzo nobel","akzo nobel","akzonobel",1,NA
"1558","apollo vredestein b v","apollo vredestein b v","apollo vredestein bv",1,NA
"1559","stork services b v","stork b v","stork bv",1,NA
"1560","vdl bus coach","vdl bus coach","vdl bus  coach",1,NA
"1561","fisher paykel","fisher paykel","fisher  paykel",1,NA
"1562","fisher paykel healthcare","fisher paykel","fisher  paykel",1,NA
"1563","new zealand aluminum smelters","new zealand aluminum smelters","new zealand aluminium smelters",1,NA
"1564","solaris bus coach","solaris bus coach","solaris bus  coach",1,NA
"1565","avectas","avectas","aventas",1,NA
"1566","ei","ei","eir",1,NA
"1567","kerry  services","kerry ","kerry",1,NA
"1568","creative technoloy","creative technoloy","creative technology",1,NA
"1569","compania espanola de petroleos  cepsa","compania espanola de petroleos  cepsa","compania espanola de petroleos cepsa",1,NA
"1570","construcciones y auxiliar de ferrocarriles  caf","construcciones y auxiliar de ferrocarriles  caf","construcciones y auxiliar de ferrocarriles caf",1,NA
"1571","ibérica","iberica","iberia",1,NA
"1572","arca systems","arca","arcam",1,NA
"1573","axel johnson  ab","axel johnson  ab","axel johnson ab",1,NA
"1574","bal ab","bal ab","bae ab",1,NA
"1575","mecer","mecer","mecel",1,NA
"1576","vsm","vsm","vs",1,NA
"1577","vida  ab","vida  ab","vida ab",1,NA
"1578","alma","alma","alpa",1,NA
"1579","alda services","alda","alpa",1,NA
"1580","alia","alia","alpa",1,NA
"1581","babco","babco","baboo",1,NA
"1582","barix","barix","bamix",1,NA
"1583","caran d ache","caran d ache","caran dache",1,NA
"1584","girard perregaux","girard perregaux","girardperregaux",1,NA
"1585","hoffmann la roche","hoffmann la roche","hoffmannla roche",1,NA
"1586","hoffman la roche","hoffman la roche","hoffmannla roche",1,NA
"1587","lindt sprüngli","lindt sprungli","lindt  sprungli",1,NA
"1588","mbt holding","mbt","mbf",1,NA
"1589","mbb","mbb","mbf",1,NA
"1590","mb  holding","mb ","mbf",1,NA
"1591","mb microtec","mb microtec","mbmicrotec",1,NA
"1592","sauter","sauter","saurer",1,NA
"1593","sge","sge","sgs",1,NA
"1594","sika","sika","sita",1,NA
"1595","sitag","sitag","sita",1,NA
"1596","st ericsson","st ericsson","stericsson",1,NA
"1597","swiss red","swiss red","swiss re",1,NA
"1598","swiss rr","swiss rr","swiss re",1,NA
"1599","swisspor holding","swisspor","swissport",1,NA
"1600","caesarstone sdot yam","caesarstone sdot yam","caesarstone sdotyam",1,NA
"1601","elisha medical","elisha","elisra",1,NA
"1602","lean","lean","leaf",1,NA
"1603","maya","maya","mapa",1,NA
"1604","mapi pharma","mapi","mapa",1,NA
"1605","med","med","mer",1,NA
"1606","navot","navot","naot",1,NA
"1607","ziv healthcare","ziv","zim",1,NA
"1608","shopping com","shopping com","shoppingcom",1,NA
"1609","strauss elite","strauss elite","strausselite",1,NA
"1610","taro pharmaceuticals","taro","tara",1,NA
"1611","wave","wave","waze",1,NA
"1612","witcom","witcom","wixcom",1,NA
"1613","wizcom","wizcom","wixcom",1,NA
"1614","wix com","wix com","wixcom",1,NA
"1615","lep chemical","lep","le",1,NA
"1616","aae","aae","aah",1,NA
"1617","aaf","aaf","aah",1,NA
"1618","aac","aac","aah",1,NA
"1619","aan medical","aan","aah",1,NA
"1620","allen hanburys","allen hanburys","allen  hanburys",1,NA
"1621","argo","argo","argos",1,NA
"1622","boulton","boulton","bolton",1,NA
"1623","astex","astex","aster",1,NA
"1624","bba","bba","bbc",1,NA
"1625","bbm","bbm","bbc",1,NA
"1626","glaxo wellcome","glaxo wellcome","glaxowellcome",1,NA
"1627","rolls royce","rolls royce","rollsroyce",1,NA
"1628","roll royce","roll royce","rollsroyce",1,NA
"1629","penlon","penlon","pennon",1,NA
"1630","coras","coras","corus",1,NA
"1631","holiton","holiton","honiton",1,NA
"1632","devol","devol","devon",1,NA
"1633","watfort","watfort","watford",1,NA
"1634","craley","craley","crawley",1,NA
"1635","univate","univate","unigate",1,NA
"1636","imperial chemical industrices","imperial industrices","imperial industries",1,NA
"1637","imperial chemical industriles","imperial industriles","imperial industries",1,NA
"1638","imperial chemical indutries","imperial indutries","imperial industries",1,NA
"1639","itw","itw","ith",1,NA
"1640","itt","itt","ith",1,NA
"1641","itc","itc","ith",1,NA
"1642","its","its","ith",1,NA
"1643","iti","iti","ith",1,NA
"1644","tsl","tsl","tsb",1,NA
"1645","tsg associates","tsg","tsb",1,NA
"1646","mga","mga","mgm",1,NA
"1647","mgt","mgt","mgm",1,NA
"1648","oppilan pharma","oppilan","optilan",1,NA
"1649","rolls royce motor cars","rolls royce motor cars","rollsroyce motor cars",1,NA
"1650","rolls royce motors","rolls royce motors","rollsroyce motors",1,NA
"1651","orthotics","orthotics","orthotic",1,NA
"1652","huls","huls","hull",1,NA
"1653","procter gamble","procter gamble","procter  gamble",1,NA
"1654","sgb services","sgb","sgn",1,NA
"1655","sgb","sgb","sgn",1,NA
"1656","thornton ross","thornton ross","thornton  ross",1,NA
"1657","harmworth","harmworth","harworth",1,NA
"1658","viig","viig","viiv",1,NA
"1659","ipv","ipv","iptv",1,NA
"1660","aco","aco","acom",1,NA
"1661","aen","aen","aeon",1,NA
"1662","aki","aki","akai",1,NA
"1663","akagi","akagi","akai",1,NA
"1664","audio technica","audio technica","audiotechnica",1,NA
"1665","bonex","bonex","bones",1,NA
"1666","cape","cape","cave",1,NA
"1667","daikin industris","daikin industris","daikin industries",1,NA
"1668","daikin ondustries","daikin ondustries","daikin industries",1,NA
"1669","daikin industriesm","daikin industriesm","daikin industries",1,NA
"1670","daikin industres","daikin industres","daikin industries",1,NA
"1671","daikin insdustries","daikin insdustries","daikin industries",1,NA
"1672","daikin industies","daikin industies","daikin industries",1,NA
"1673","daimatu","daimatu","daimaru",1,NA
"1674","digian","digian","digion",1,NA
"1675","fuji xerox xo","fuji xerox xo","fuji xerox co",1,NA
"1676","fuji xerox cop","fuji xerox cop","fuji xerox co",1,NA
"1677","geo","geo","geos",1,NA
"1678","geis","geis","geos",1,NA
"1679","hi lex","hi lex","hilex",1,NA
"1680","kajita construction","kajita construction","kajima construction",1,NA
"1681","keiyo","keiyo","keio",1,NA
"1682","kei communication","kei","keio",1,NA
"1683","kuron","kuron","kumon",1,NA
"1684","kurita water industrie","kurita water industrie","kurita water industries",1,NA
"1685","kurita water insustries","kurita water insustries","kurita water industries",1,NA
"1686","maruho","maruho","maruhon",1,NA
"1687","minex","minex","mines",1,NA
"1688","mitsubishi heavy indusries","mitsubishi heavy indusries","mitsubishi heavy industries",1,NA
"1689","mitsubishi heavy industruies","mitsubishi heavy industruies","mitsubishi heavy industries",1,NA
"1690","mitsubishi heavy idustries","mitsubishi heavy idustries","mitsubishi heavy industries",1,NA
"1691","mitsubishi heavy industies","mitsubishi heavy industies","mitsubishi heavy industries",1,NA
"1692","mitsuboshi","mitsuboshi","mitsukoshi",1,NA
"1693","mujin","mujin","muji",1,NA
"1694","nachi fujikoshi","nachi fujikoshi","nachifujikoshi",1,NA
"1695","nakane","nakane","nakano",1,NA
"1696","nakan","nakan","nakano",1,NA
"1697","nakao","nakao","nakano",1,NA
"1698","nakayo","nakayo","nakano",1,NA
"1699","nakayo telecommunications","nakayo","nakano",1,NA
"1700","nippon chemi con","nippon chemi con","nippon chemicon",1,NA
"1701","nippon chem con","nippon chem con","nippon chemicon",1,NA
"1702","nippon steel sumitomo metal","nippon steel sumitomo metal","nippon steel  sumitomo metal",1,NA
"1703","nippon steel 7 sumitomo metal","nippon steel 7 sumitomo metal","nippon steel  sumitomo metal",1,NA
"1704","pentex","pentex","pentel",1,NA
"1705","san ai oil","san ai oil","sanai oil",1,NA
"1706","seiku chemical","seiku","seiyu",1,NA
"1707","sugiyo","sugiyo","sugino",1,NA
"1708","sumitomo heavy industrries","sumitomo heavy industrries","sumitomo heavy industries",1,NA
"1709","sumitomo heavy industrie s","sumitomo heavy industrie s","sumitomo heavy industries",1,NA
"1710","sumitomo metal indusries","sumitomo metal indusries","sumitomo metal industries",1,NA
"1711","sumitomo rubber indusiries","sumitomo rubber indusiries","sumitomo rubber industries",1,NA
"1712","sumitomo rubber iindustries","sumitomo rubber iindustries","sumitomo rubber industries",1,NA
"1713","sumitomo rubber industrues","sumitomo rubber industrues","sumitomo rubber industries",1,NA
"1714","tokyo max","tokyo max","tokyo mx",1,NA
"1715","tokyo mk","tokyo mk","tokyo mx",1,NA
"1716","tokyo land","tokyo land","tokyu land",1,NA
"1717","tomy","tomy","toms",1,NA
"1718","tops systems","tops","toms",1,NA
"1719","tops","tops","toms",1,NA
"1720","ubeindustries","ubeindustries","ube industries",1,NA
"1721","ube indrustries","ube indrustries","ube industries",1,NA
"1722","uni chemical","uni","uny",1,NA
"1723","yamaha motor","yamaha motor","yamaha motors",1,NA
"1724","cheil indistries","cheil indistries","cheil industries",1,NA
"1725","doosan construction","doosan construction","doosan  construction",1,NA
"1726","fils","fils","fila",1,NA
"1727","gamepark","gamepark","game park",1,NA
"1728","gmb korea","gmb korea","gm korea",1,NA
"1729","hanji","hanji","hanjin",1,NA
"1730","hankook tire","hankook tire","hankook tires",1,NA
"1731","hyundai motor campany","hyundai motor campany","hyundai motor company",1,NA
"1732","hyundai motor companay","hyundai motor companay","hyundai motor company",1,NA
"1733","isv","isv","isu",1,NA
"1734","isc","isc","isu",1,NA
"1735","kocom","kocom","koscom",1,NA
"1736","ls cable system","ls cable system","ls cable  system",1,NA
"1737","mbi","mbi","mbc",1,NA
"1738","mbd","mbd","mbc",1,NA
"1739","samsung c t","samsung c t","samsung ct",1,NA
"1740","samsung electro mechanics","samsung electro mechanics","samsung electromechanics",1,NA
"1741","samsung electr mechanics","samsung electr mechanics","samsung electromechanics",1,NA
"1742","sk c c","sk c c","sk cc",1,NA
"1743","sts","sts","stx",1,NA
"1744","sti","sti","stx",1,NA
"1745","st1","st1","stx",1,NA
"1746","stc","stc","stx",1,NA
"1747","stx offshore shipbuilding","stx offshore shipbuilding","stx offshore  shipbuilding",1,NA
"1748","yts","yts","ytn",1,NA
"1749","adl","adl","adly",1,NA
"1750","asys","asys","asus",1,NA
"1751","chain tech","chain tech","chaintech",1,NA
"1752","edison opto","edison opto","edisonopto",1,NA
"1753","epos","epos","epox",1,NA
"1754","lin li","lin li","lian li",1,NA
"1755","lite on","lite on","liteon",1,NA
"1756","micro","micro","mipro",1,NA
"1757","tsrc","tsrc","tsmc",1,NA
"1758","tslc","tslc","tsmc",1,NA
"1759","via technolgies","via technolgies","via technologies",1,NA
"1760","via technoologies","via technoologies","via technologies",1,NA
"1761","via technololgies","via technololgies","via technologies",1,NA
"1762","via technologyies","via technologyies","via technologies",1,NA
"1763","mail ru","mail ru","mailru",1,NA
"1764","vsmpo avisma","vsmpo avisma","vsmpoavisma",1,NA
